Update,ref,id,table,field,old_sentence,new_sentence
1,M01,c5222c6a-7752-4af2-b895-271570f652bd,verse_life_application,deeper_layer,"To fully inherit the promise of God — his grace, his presence, his purposes for your life — something else has to be driven out.","To fully inherit the promise of God — His grace, His presence, His purposes for your life — something else has to be driven out."
1,M02,ce02647a-4bca-4269-9ab3-fd3747374c60,verse_life_application,reflection_question,"When God feels absent from your hardest situation, what would it change if you genuinely believed his nature — his power, his faithfulness — hasn't moved an inch?","When God feels absent from your hardest situation, what would it change if you genuinely believed His nature — His power, His faithfulness — hasn't moved an inch?"
1,M03,ead15956-b15e-449b-b2bb-9551c5016207,verse_life_application,plain_truth,"You cannot have God's forgiveness floating free of his moral order, and you cannot have his law crushing you without his mercy hovering over it.","You cannot have God's forgiveness floating free of His moral order, and you cannot have His law crushing you without His mercy hovering over it."
1,M04,31cb39aa-9b79-489c-9a5e-ca1f46881993,verse_life_application,deeper_layer,"God wanted the very curtain marking his holiness to be an act of deep, deliberate human imagination ordered toward his glory.","God wanted the very curtain marking His holiness to be an act of deep, deliberate human imagination ordered toward His glory."
1,M05,6c1c66e3-0e97-4dfa-a192-c3a0eaf2837d,verse_life_application,plain_truth,"It's God saying his mercy operates from the inside out — it originates entirely in him, not in what we deserve.","It's God saying His mercy operates from the inside out — it originates entirely in Him, not in what we deserve."
1,M06,8f49fcf7-f76f-4216-a0d5-9c7fd643956d,verse_life_application,reflection_question,"When you feel forgotten or like your failures have finally exhausted God's patience with you, what would change if you truly believed his faithfulness is anchored in *his* promises, not *your* performance?","When you feel forgotten or like your failures have finally exhausted God's patience with you, what would change if you truly believed His faithfulness is anchored in *His* promises, not *your* performance?"
1,M07,8d69a155-979d-425f-8b91-a2fe997bd3ac,verse_life_application,plain_truth,God isn't gleeful about this — he's expressing how serious the rejection of his faithfulness actually is.,God isn't gleeful about this — He's expressing how serious the rejection of His faithfulness actually is.
1,M08,aeda5ce4-412c-46da-a04e-1a6a993357c3,verse_life_application,deeper_layer,* God wasn't just performing impressive acts; he was leaving trail markers that pointed back to his faithfulness.,* God wasn't just performing impressive acts; He was leaving trail markers that pointed back to His faithfulness.
1,M09,8cf73375-6595-45e2-a2c6-7cd2e60a98d5,verse_life_application,deeper_layer,The word appears elsewhere to describe God himself as uniquely alone in his sovereignty.,The word appears elsewhere to describe God Himself as uniquely alone in His sovereignty.
1,M10,1c234d46-12a6-431c-b6ee-8befb4bb241d,verse_life_application,plain_truth,"It's not meant to make us fear God in a panicked way, but to show us that his love and his holiness are not two separate things.","It's not meant to make us fear God in a panicked way, but to show us that His love and His holiness are not two separate things."
1,M11,6f7cb927-5ab6-4267-82db-f404221a04b9,verse_life_application,deeper_layer,"It was more like holding up a complete portrait of who God is — his faithfulness, his power, his track record — and saying, *look at this*.","It was more like holding up a complete portrait of who God is — His faithfulness, His power, His track record — and saying, *look at this*."
1,M12,7ada3559-9538-4741-9406-44dd9ca61410,verse_life_application,reflection_question,"Where in your own life are you waiting for God to be specific and countable in his faithfulness, and what would it mean to start keeping your own record of the ""ones"" he has already delivered?","Where in your own life are you waiting for God to be specific and countable in His faithfulness, and what would it mean to start keeping your own record of the ""ones"" He has already delivered?"
1,M13,da86bddf-b1cc-4bf0-97cd-6f4057402588,verse_life_application,deeper_layer,"So when the text says God's soul was *qatsar* over Israel's misery, it's painting a picture of his compassion reaching its limit in the other direction — he simply couldn't hold back from acting.","So when the text says God's soul was *qatsar* over Israel's misery, it's painting a picture of His compassion reaching its limit in the other direction — He simply couldn't hold back from acting."
1,M14,2bc813bf-66cf-4198-ad87-6c2818320df7,verse_life_application,plain_truth,"But notice what immediately follows the declaration of God's greatness: not a list of his power or his judgment, but his faithfulness.","But notice what immediately follows the declaration of God's greatness: not a list of His power or His judgment, but His faithfulness."
1,M15,2bc813bf-66cf-4198-ad87-6c2818320df7,verse_life_application,reflection_question,"When you find it hard to trust God right now, is it more because you doubt his power, or because you doubt his loyal love toward you specifically?","When you find it hard to trust God right now, is it more because you doubt His power, or because you doubt His loyal love toward you specifically?"
1,M16,54e9c719-f3a8-4a03-aad7-2f51b2ce42e8,verse_life_application,reflection_question,Where in your life might God's restraint — his choice *not* to act in judgment — actually be the evidence of his mercy you've been overlooking?,Where in your life might God's restraint — His choice *not* to act in judgment — actually be the evidence of His mercy you've been overlooking?
0,M17,93946e7f-498e-456c-ab0b-524ab8e34235,verse_life_application,plain_truth,"He's not demanding a trophy — he's asking God to hold his faithfulness in memory the way you'd hold something precious, not letting it slip away or be erased.","He's not demanding a trophy — He's asking God to hold His faithfulness in memory the way you'd hold something precious, not letting it slip away or be erased."
2,M18,68bf0019-988d-4a9e-8c91-dd64b32d3e74,verse_life_application,plain_truth,"He doesn't wait for the storm to pass before trusting God — he declares what he believes *right now*, in the middle of it: God will send His loyal love by day, and at night a song will stay with him, and his prayers will keep rising to the God who holds his very life.","He doesn't wait for the storm to pass before trusting God — he declares what he believes *right now*, in the middle of it: God will send His loyal love by day, and at night a song will stay with him, and his prayers will keep rising to the God who holds his very life."
1,M19,8ed639aa-8a1c-462d-b51e-74c0402cf58e,verse_life_application,plain_truth,"The phrase ""in his holiness"" means God swore by his own character — his most unbreakable oath.","The phrase ""in His holiness"" means God swore by His own character — His most unbreakable oath."
1,M20,37b1f7da-49fb-498a-8afd-a7fe12b70b10,verse_life_application,reflection_question,"When you feel exposed or unsafe, are you asking God for circumstances to change, or are you asking him to station his faithfulness right where you are?","When you feel exposed or unsafe, are you asking God for circumstances to change, or are you asking Him to station His faithfulness right where you are?"
1,M21,41ce28f8-eb2f-4498-b32f-11a741272c8f,verse_life_application,plain_truth,"To sing ""to God's name"" means to celebrate *who God actually is* — his faithfulness, his power, his goodness — not just to say nice things about him in general.","To sing ""to God's name"" means to celebrate *who God actually is* — His faithfulness, His power, His goodness — not just to say nice things about Him in general."
0,M22,f92e65a7-3f13-4680-8a53-9bd40c346fdb,verse_life_application,plain_truth,"The psalmist has been drowning in anxiety — wondering if God has forgotten him, abandoned him, closed off his compassion forever.","The psalmist has been drowning in anxiety — wondering if God has forgotten Him, abandoned Him, closed off His compassion forever."
1,M23,ab0955cb-7dbf-43e6-8d18-572b4ba227b1,verse_life_application,deeper_layer,"When the psalmist asks God to ""show"" them his mercy, they're asking him to make his loyal love *visible*.","When the psalmist asks God to ""show"" them His mercy, they're asking Him to make His loyal love *visible*."
1,M24,ff24a715-259d-4733-8cbe-00f2085b301e,verse_life_application,plain_truth,"God says he will not withdraw his loyal love, and the covenant he made will not collapse.","God says He will not withdraw His loyal love, and the covenant He made will not collapse."
0,M25,ca83aec1-217b-42d3-b042-df1af6dc6d45,verse_life_application,plain_truth,"And because God is present, his faithfulness and mercy travel with him.","And because God is present, His faithfulness and mercy travel with Him."
1,M26,194876c0-d692-48ab-a8d4-1f074ddd624f,verse_life_application,deeper_layer,"They were subjecting God to an assay, holding him up to scrutiny as if his faithfulness might be counterfeit.","They were subjecting God to an assay, holding Him up to scrutiny as if His faithfulness might be counterfeit."
1,M27,d8513c2d-c485-43ff-a95b-36e44af26895,verse_life_application,plain_truth,"Psalm 96:2 is a triple call packed into one verse: sing to God, speak well of his name, and announce his salvation — not just once, but every single day.","Psalm 96:2 is a triple call packed into one verse: sing to God, speak well of His name, and announce His salvation — not just once, but every single day."
1,M28,9107979d-7f05-4766-8f15-5bc9b4e653a3,verse_life_application,plain_truth,"The second half deepens it: when you pause to remember who God actually *is* — specifically his holiness, his utter set-apartness from everything corrupt or small — that memory itself becomes a reason for gratitude.","The second half deepens it: when you pause to remember who God actually *is* — specifically His holiness, His utter set-apartness from everything corrupt or small — that memory itself becomes a reason for gratitude."
1,M29,10d63379-f3c3-4d38-878b-e2a2af25e985,verse_life_application,plain_truth,"The psalmist is marveling that what God did — his salvation, his righteousness, his way of making things right — went public.","The psalmist is marveling that what God did — His salvation, His righteousness, His way of making things right — went public."
2,M30,10d63379-f3c3-4d38-878b-e2a2af25e985,verse_life_application,deeper_layer,"So when the psalmist says God ""openly showed"" His righteousness, he's not saying God politely presented it.","So when the psalmist says God ""openly showed"" His righteousness, he's not saying God politely presented it."
1,M31,5571b5e7-93eb-4f97-a109-2d353e87fed8,verse_life_application,plain_truth,"The reason is found in the verses just before: God has kept his promises, his salvation is out in the open for the whole world to see.","The reason is found in the verses just before: God has kept His promises, His salvation is out in the open for the whole world to see."
1,M32,e282f74b-1935-4948-afd0-df9b92e31fa2,verse_life_application,reflection_question,"When you feel like you've exhausted God's patience, what would it change if you truly believed his faithfulness to you was grounded in his own character and not in your track record?","When you feel like you've exhausted God's patience, what would it change if you truly believed His faithfulness to you was grounded in His own character and not in your track record?"
2,M33,06a5c2b4-7623-4dfc-ab30-40b00289b5b0,verse_life_application,plain_truth,"When the psalmist says ""God hath spoken in His holiness,"" he's not describing a casual remark.","When the psalmist says ""God hath spoken in His holiness,"" he's not describing a casual remark."
1,M34,b8cf88e7-d9ab-47c7-93ad-afad2d386a52,verse_life_application,deeper_layer,"When the psalm says ""the day of his wrath,"" it's picturing God's nostrils flaring — not because he lost control, but because justice finally has its moment.","When the psalm says ""the day of His wrath,"" it's picturing God's nostrils flaring — not because He lost control, but because justice finally has its moment."
1,M35,15a0798b-d0ec-4ebd-afa9-cf729da3580c,verse_life_application,deeper_layer,"It's saying everything God *is* — his faithfulness, his power, his tendency to rescue — remains fully intact across every era.","It's saying everything God *is* — His faithfulness, His power, His tendency to rescue — remains fully intact across every era."
1,M36,4701688c-d41a-449a-bfa5-7ce606800759,verse_life_application,plain_truth,"God's greatness is shown partly in what he *doesn't* explain — he hides things, keeps his deepest purposes veiled, and that mystery is actually part of his majesty.","God's greatness is shown partly in what He *doesn't* explain — He hides things, keeps His deepest purposes veiled, and that mystery is actually part of His majesty."
1,M37,eed70b7c-5e72-4968-a1f3-c5412a2fc031,verse_life_application,plain_truth,"The verse says that God himself will shake the heavens and the earth will be knocked loose from its foundations — all because of his wrath toward a proud, brutal empire.","The verse says that God Himself will shake the heavens and the earth will be knocked loose from its foundations — all because of His wrath toward a proud, brutal empire."
1,M38,8ba286bf-9422-4a71-9fef-e6a1d66d8cd9,verse_life_application,plain_truth,"The knowledge of who God is — his incomparable greatness, his creative power, his sovereignty over everything — has been available since the world was made.","The knowledge of who God is — His incomparable greatness, His creative power, His sovereignty over everything — has been available since the world was made."
1,M39,a795810b-82d8-439c-8b21-d43619c6845b,verse_life_application,reflection_question,"When you're tempted to believe God has given up on you because of your failures, what would it change to consider that his faithfulness is rooted in his own unchanging character rather than your performance?","When you're tempted to believe God has given up on you because of your failures, what would it change to consider that His faithfulness is rooted in His own unchanging character rather than your performance?"
1,M40,4ddca6bb-7eec-4c6f-96fb-334e93f580df,verse_life_application,deeper_layer,And God says that *this* is what triggered his wrath and his silence.,And God says that *this* is what triggered His wrath and His silence.
1,M41,958ed03d-baaf-4911-9199-47fceca41989,verse_life_application,reflection_question,"When God feels silent or slow in your situation, can you trust that his faithfulness to his own character is still at work, even when it doesn't look like rescue?","When God feels silent or slow in your situation, can you trust that His faithfulness to His own character is still at work, even when it doesn't look like rescue?"
1,M42,891dac9a-69bd-4c5b-b79a-f8ad05ef3762,verse_life_application,deeper_layer,"God's name represents his entire character — his wholeness, his faithfulness, his power.","God's name represents His entire character — His wholeness, His faithfulness, His power."
1,M43,b9191a7f-c2c3-4a5b-b328-76b624d64b84,verse_life_application,deeper_layer,"That contrast is stunning: where Israel once poured out blood through their sin, God now pours out his Spirit through his mercy.","That contrast is stunning: where Israel once poured out blood through their sin, God now pours out His Spirit through His mercy."
1,M44,042ef24f-0efb-4ec8-8f71-91a4088defec,verse_life_application,reflection_question,"When was the last time something about God — his size, his nearness, his holiness — genuinely stopped you in your tracks, and what got in the way of letting it?","When was the last time something about God — His size, His nearness, His holiness — genuinely stopped you in your tracks, and what got in the way of letting it?"
1,M45,544d5196-08e1-4b5b-87ac-c90165eceede,verse_life_application,deeper_layer,And God chooses that as his example of what his grace reaches.,And God chooses that as His example of what His grace reaches.
1,M46,91be5447-4d83-48bb-b651-564c6bfb73e9,verse_life_application,deeper_layer,"When God swears *by his holiness*, he's staking the one thing about himself that is completely beyond question or compromise.","When God swears *by His holiness*, He's staking the one thing about Himself that is completely beyond question or compromise."
1,M47,6fd8cdd6-b9b1-4244-b01d-184ddb5f9225,verse_life_application,reflection_question,"If God laid out the full record of his faithfulness to you the way he did for Israel, what would you have to honestly say in response?","If God laid out the full record of His faithfulness to you the way He did for Israel, what would you have to honestly say in response?"
1,M48,33d5d6f5-8d31-4a3b-8a37-29098c07cd12,verse_life_application,reflection_question,"Where in your life are you waiting for God to prove himself through a dramatic exit, when his faithfulness might actually look like staying in the hard place?","Where in your life are you waiting for God to prove Himself through a dramatic exit, when His faithfulness might actually look like staying in the hard place?"
3,M49,3df4a0a6-d8c4-4151-b59d-21ef7326ecd5,verse_life_application,plain_truth,"He's saying, if his actions don't line up with God's character — if his healings, his compassion, his power over nature don't look like things God would do — then don't believe him.","He's saying, if His actions don't line up with God's character — if His healings, His compassion, His power over nature don't look like things God would do — then don't believe Him."
3,M50,eb23ca58-aba1-4f45-8394-c70fac5f18fe,verse_life_application,plain_truth,"He's saying that his character, his compassion, his words, his actions — all of it is what God actually looks like in human form.","He's saying that His character, His compassion, His words, His actions — all of it is what God actually looks like in human form."
1,M51,604f23da-b248-47ba-a212-3a8706520ce9,verse_life_application,deeper_layer,"To ask ""in my name"" wasn't a magic phrase to close a prayer — it meant coming to the Father clothed in everything Jesus is: his righteousness, his relationship, his finished work.","To ask ""in my name"" wasn't a magic phrase to close a prayer — it meant coming to the Father clothed in everything Jesus is: His righteousness, His relationship, His finished work."
